annual_income,spending_score,savings,age
141958,90,30467,42
35795,44,30723,67
20860,34,47699,40
123694,74,4627,48
148106,62,26939,47
139879,14,49925,59
130268,95,43941,52
96820,48,22834,24
74886,15,19047,33
26265,72,27105,43
102386,78,11230,65
148214,87,16707,69
57194,62,22976,66
107498,40,45262,19
132727,85,24776,18
146324,80,31080,65
64131,82,2306,29
80263,53,7776,22
36023,24,28251,54
61090,26,10474,49
87221,89,41294,26
84820,60,22959,58
20769,41,6530,52
79735,29,30320,36
82955,15,4748,65
84925,45,32968,33
141637,65,33562,20
87969,89,14545,37
25311,71,1663,41
123355,9,35766,50
124724,88,8994,41
103104,1,29021,69
73707,8,31303,28
105305,88,4304,66
48693,63,47576,25
91932,11,40353,53
147723,81,18675,55
113016,8,45417,57
126970,35,24938,37
45658,35,24664,52
104478,33,2636,65
142537,5,21080,42
38431,41,28728,52
22747,28,27736,42
143855,7,29673,46
79150,73,38505,35
85725,72,48323,63
149981,12,47645,35
104654,34,1854,19
55773,33,25548,52
139346,48,39623,33
87435,23,8392,58
76886,62,47717,53
86803,88,22556,50
51551,37,39559,21
136216,99,27309,50
31394,44,22919,31
89092,86,5931,38
23890,91,33970,65
61606,35,45215,37
116276,65,13688,25
145768,99,26342,24
100038,47,38157,20
107313,78,3327,34
30627,3,41772,50
28792,1,41545,65
128859,5,1197,29
128557,90,24509,68
93969,14,35698,39
63001,27,45542,39
96552,9,16087,63
43897,79,23671,47
88148,15,26184,55
141729,90,28848,55
144243,42,43107,62
140923,77,21666,68
140174,51,45357,25
43483,63,16708,44
144358,96,27370,44
68555,52,3811,51
145436,96,48011,38
37159,4,7546,47
130510,94,35754,50
126530,23,31206,45
100077,15,42106,64
55920,43,12411,50
112067,29,3911,22
87121,36,2734,65
89479,13,19227,36
109475,32,9680,21
39457,71,20360,52
86557,59,19343,66
97189,86,6759,34
129109,28,24078,61
98953,66,36153,45
72995,42,12111,47
60757,45,38504,46
29692,62,2802,63
65758,57,9155,23
149425,6,9120,52
